board size,calls,time
0,0,0.000004s
1,1,0.000008s
4,26,0.000017s
5,15,0.000011s
6,171,0.000080s
7,42,0.000026s
8,876,0.000362s
9,333,0.000146s
10,975,0.000423s
11,517,0.000248s
12,3066,0.001410s
13,1365,0.000681s
14,26495,0.008047s
15,20280,0.003643s
16,160712,0.014465s
17,91222,0.007131s
18,743229,0.047648s
19,48184,0.003078s
20,3992510,0.253168s
21,179592,0.011663s
22,38217905,2.577556s
23,584591,0.039400s
24,9878316,0.710558s
25,1216775,0.089587s
26,10339849,0.815349s
27,12263400,0.956678s
28,84175966,6.601450s
29,44434525,3.591837s
