board size,calls,time
0,0,0.000001s
1,1,0.000000s
4,26,0.000005s
5,15,0.000004s
6,171,0.000026s
7,42,0.000009s
8,876,0.000101s
9,333,0.000046s
10,975,0.000117s
11,517,0.000064s
12,3066,0.000374s
13,1365,0.000181s
14,26495,0.002876s
15,20280,0.002252s
16,160712,0.017150s
17,91222,0.010383s
18,743229,0.084488s
19,48184,0.005725s
20,3992510,0.490726s
21,179592,0.023457s
22,38217905,5.092550s
23,584591,0.081210s
24,9878316,1.410959s
25,1216775,0.188140s
26,10339849,1.599553s
27,12263400,1.987257s
28,84175966,14.078644s
29,44434525,7.684626s
30,1692888135,298.843353s
31,408773285,74.617912s
32,-1495242192,526.441956s
33,323601164,893.228821s

